case,ax,rate,de,de_lo,cap
case_01,Mx,0.1,1.3848540713465092,0.709720817077943,0.6004689911012564
case_01,Mx,0.2,1.2929895907746576,0.2690396957958307,0.522251691218474
case_01,Mx,0.3,1.7104022083760102,0.3853697799073012,0.5051073726512278
case_01,Mx,0.45,1.2488574575342315,0.5291739073527667,0.5034662590207747
case_01,Mx,0.65,1.8516084839996527,1.1746636664476175,0.5137025506359427
case_01,Mx,0.9,1.3384652874800858,0.22167634598390068,0.5317556095790378
case_01,Mx,1.2,1.4842702581432135,0.421177592414396,0.5550527698499366
case_01,Mx,0.1,0.837761303608877,0.4933162102431137,0.6004689911012564
case_01,Mx,0.2,0.6797153432890574,0.17036426945738326,0.522251691218474
case_01,Mx,0.3,0.5549981680599059,0.2797575447873428,0.5051073726512278
case_01,Mx,0.45,0.8706790816882825,0.22677643367798936,0.5034662590207747
case_01,Mx,0.65,0.6454877882939725,0.29354114030869355,0.5137025506359427
case_01,Mx,0.9,0.8042257037575442,0.30802422376617794,0.5317556095790378
case_01,Mx,1.2,0.7439763231734825,0.17457433118413854,0.5550527698499366
case_01,My,0.1,0.9027837831631172,0.34983173403547796,0.47578794526899415
case_01,My,0.2,1.1211170334050273,0.4072951467344356,0.42369498801914357
case_01,My,0.3,0.8438524681792042,0.34648906495306653,0.41413194085874905
case_01,My,0.45,0.6621408839563601,0.29007412408494176,0.4163382239501636
case_01,My,0.65,1.0893498478499801,0.4412094645342766,0.42759982738286567
case_01,My,0.9,1.704541509455211,0.46407815385671664,0.444957542715494
case_01,My,0.1,1.1934213349269207,0.43957935985253255,0.47578794526899415
case_01,My,0.2,0.687503950643639,0.20227059085335425,0.42369498801914357
case_01,My,0.3,0.6942411727002318,0.3027039592568188,0.41413194085874905
case_01,My,0.45,0.6768297925228683,0.4119049883606109,0.4163382239501636
case_01,My,0.65,1.1764419569107722,0.2626013544812849,0.42759982738286567
case_01,My,0.9,1.3305236267380312,0.7184578569061686,0.444957542715494
case_01,My,1.2,0.6816304270481728,0.33355563796364857,0.4665356584913395
case_02,Mx,0.1,0.9003988560623744,0.48714437940197547,0.611727538256135
case_02,Mx,0.2,1.4601715491760645,0.28818621754839174,0.527514687663975
